Season,DateTime,HomeTeam,AwayTeam,FTR,HomeTeam_WinPercentage,HomeTeam_DrawPercentage,AwayTeam_WinPercentage,AwayTeam_DrawPercentage,HomeTeam_Streak,AwayTeam_Streak,HomeTeam_AvgGoal,AwayTeam_AvgGoal,HomeTeam_AvgGoalDiff,AwayTeam_AvgGoalDiff,HomeTeam_AvgShotOnTarget,AwayTeam_AvgShotOnTarget,HomeTeam_AvgShotBlock,AwayTeam_AvgShotBlock,HomeTeam_AvgCorners,AwayTeam_AvgCorners,HomeTeam_AvgRedCards,AwayTeam_AvgRedCards,HomeTeam_AvgYellowCards,AwayTeam_AvgYellowCards,HomeTeam_H2H_Wins,AwayTeam_H2H_Wins,HomeTeam_Last_Season,AwayTeam_Last_Season
2013-14,2013-09-14 00:00:00+00:00,Aston Villa,Newcastle,A,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-2,1,1.3333333333333333,0.3333333333333333,0.0,-1.0,3.3333333333333335,3.3333333333333335,1.3333333333333333,3.3333333333333335,4.333333333333333,6.333333333333333,0.0,0.3333333333333333,4.0,1.6666666666666667,1.0,2.0,0.2631578947368421,0.2894736842105263
2013-14,2013-09-14 00:00:00+00:00,Everton,Chelsea,H,0.0,1.0,0.6666666666666666,0.3333333333333333,0,0,0.6666666666666666,1.3333333333333333,0.0,1.0,5.666666666666667,4.0,1.0,2.3333333333333335,8.0,2.3333333333333335,0.0,0.0,0.6666666666666666,1.0,2.5,2.5,0.4210526315789473,0.5789473684210527
2013-14,2013-09-14 00:00:00+00:00,Fulham,West Brom,D,0.3333333333333333,0.0,0.0,0.3333333333333333,-2,-1,0.6666666666666666,0.0,-0.6666666666666666,-1.0,3.3333333333333335,1.3333333333333333,5.0,3.6666666666666665,1.3333333333333333,2.3333333333333335,0.0,0.0,2.3333333333333335,3.0,0.5,0.5,0.2894736842105263,0.3684210526315789
2013-14,2013-09-14 00:00:00+00:00,Hull,Cardiff,D,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-1,0,0.3333333333333333,1.0,-1.0,-0.3333333333333333,1.6666666666666667,2.6666666666666665,3.6666666666666665,2.6666666666666665,2.0,3.3333333333333335,0.3333333333333333,0.0,1.6666666666666667,0.6666666666666666,0.5,0.5,0.0,0.0
2013-14,2013-09-14 00:00:00+00:00,Man United,Crystal Palace,H,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-1,1,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,4.666666666666667,4.666666666666667,4.333333333333333,1.6666666666666667,5.0,3.0,0.0,0.0,2.3333333333333335,0.6666666666666666,5.0,0.0,0.7368421052631579,0.0
2013-14,2013-09-14 00:00:00+00:00,Stoke,Man City,D,0.6666666666666666,0.0,0.6666666666666666,0.0,2,1,1.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,4.666666666666667,7.333333333333333,4.666666666666667,2.0,5.666666666666667,7.666666666666667,0.0,0.0,1.6666666666666667,1.3333333333333333,1.5,3.5,0.2368421052631578,0.6052631578947368
2013-14,2013-09-14 00:00:00+00:00,Sunderland,Arsenal,A,0.0,0.3333333333333333,0.6666666666666666,0.0,-1,2,0.6666666666666666,1.6666666666666667,-1.0,0.3333333333333333,2.6666666666666665,5.333333333333333,2.6666666666666665,3.6666666666666665,4.666666666666667,5.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.5,3.5,0.2368421052631578,0.5526315789473685
2013-14,2013-09-14 00:00:00+00:00,Tottenham,Norwich,H,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,-1,1,0.6666666666666666,1.0,0.3333333333333333,0.0,3.6666666666666665,3.3333333333333335,4.0,2.0,7.0,5.333333333333333,0.0,0.0,1.0,1.0,2.0,0.0,0.5526315789473685,0.2631578947368421
2013-14,2013-09-15 00:00:00+00:00,Southampton,West Ham,D,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,-1,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,3.3333333333333335,1.6666666666666667,2.0,1.6666666666666667,6.0,3.6666666666666665,0.0,0.0,0.6666666666666666,1.0,3.0,2.0,0.2368421052631578,0.3157894736842105
2013-14,2013-09-16 00:00:00+00:00,Swansea,Liverpool,D,0.3333333333333333,0.0,1.0,0.0,1,3,1.0,1.0,-0.6666666666666666,1.0,5.0,5.666666666666667,2.6666666666666665,3.6666666666666665,4.333333333333333,5.333333333333333,0.0,0.0,2.6666666666666665,2.0,2.5,2.5,0.2894736842105263,0.4210526315789473
2013-14,2013-09-21 00:00:00+00:00,Chelsea,Fulham,H,0.5,0.25,0.25,0.25,-1,0,1.0,0.75,0.5,-0.5,4.25,3.0,2.75,4.5,3.5,2.0,0.0,0.0,1.75,1.75,1.0,0.0,0.5789473684210527,0.2894736842105263
2013-14,2013-09-21 00:00:00+00:00,Liverpool,Southampton,A,0.75,0.25,0.25,0.5,0,0,1.25,0.5,0.75,0.0,5.5,3.75,4.25,1.75,5.75,7.0,0.0,0.0,2.25,0.75,3.0,2.0,0.4210526315789473,0.2368421052631578
2013-14,2013-09-21 00:00:00+00:00,Newcastle,Hull,A,0.5,0.25,0.25,0.25,2,0,0.75,0.5,-0.5,-0.75,4.5,2.5,2.5,3.0,5.25,3.0,0.25,0.25,2.25,1.5,0.5,1.5,0.2894736842105263,0.0
2013-14,2013-09-21 00:00:00+00:00,Norwich,Aston Villa,A,0.25,0.25,0.25,0.0,-1,-3,0.75,1.25,-0.5,-0.25,2.75,2.75,2.75,2.5,4.25,4.25,0.0,0.0,1.5,3.25,1.0,1.0,0.2631578947368421,0.2631578947368421
2013-14,2013-09-21 00:00:00+00:00,West Brom,Sunderland,H,0.0,0.5,0.0,0.25,0,-2,0.25,0.75,-0.75,-1.25,2.0,2.5,3.0,2.75,3.0,5.0,0.0,0.25,2.5,0.75,3.5,0.5,0.3684210526315789,0.2368421052631578
2013-14,2013-09-21 00:00:00+00:00,West Ham,Everton,A,0.25,0.5,0.25,0.75,0,1,0.5,0.75,0.25,0.25,1.5,5.5,2.5,2.0,3.75,7.25,0.0,0.0,1.5,0.5,2.0,3.0,0.3157894736842105,0.4210526315789473
2013-14,2013-09-22 00:00:00+00:00,Arsenal,Stoke,H,0.75,0.0,0.5,0.25,3,0,2.0,0.75,0.75,0.25,5.5,4.25,3.0,4.25,5.5,4.75,0.25,0.0,2.5,1.5,5.0,0.0,0.5526315789473685,0.2368421052631578
2013-14,2013-09-22 00:00:00+00:00,Cardiff,Tottenham,A,0.25,0.5,0.75,0.0,0,1,1.0,1.0,-0.25,0.75,2.5,4.5,3.0,3.25,3.0,7.25,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5526315789473685
2013-14,2013-09-22 00:00:00+00:00,Crystal Palace,Swansea,A,0.25,0.0,0.25,0.25,-1,0,1.0,1.25,-0.5,-0.5,3.5,5.75,2.5,2.75,2.5,4.0,0.25,0.0,1.0,2.5,1.5,3.5,0.0,0.2894736842105263
2013-14,2013-09-22 00:00:00+00:00,Man City,Man United,H,0.5,0.25,0.5,0.25,0,1,2.0,1.5,1.25,1.0,6.25,5.25,2.25,3.25,6.75,6.25,0.0,0.0,1.25,2.0,2.5,2.5,0.6052631578947368,0.7368421052631579
2013-14,2013-09-28 00:00:00+00:00,Aston Villa,Man City,H,0.4,0.0,0.6,0.2,1,1,1.2,2.4,0.0,1.6,3.0,6.0,2.2,2.2,4.2,7.0,0.0,0.0,2.6,1.2,1.5,1.5,0.2631578947368421,0.6052631578947368
2013-14,2013-09-28 00:00:00+00:00,Fulham,Cardiff,A,0.2,0.2,0.2,0.4,-1,-1,0.6,0.8,-0.8,-0.4,2.6,2.0,5.2,4.6,2.2,2.8,0.0,0.0,1.4,1.0,0.0,1.0,0.2894736842105263,0.0
2013-14,2013-09-28 00:00:00+00:00,Hull,West Ham,H,0.4,0.2,0.2,0.4,1,-1,1.0,0.8,-0.4,0.0,3.0,1.4,2.4,2.2,3.0,4.0,0.2,0.2,1.4,1.6,2.5,0.5,0.0,0.3157894736842105
2013-14,2013-09-28 00:00:00+00:00,Man United,West Brom,A,0.4,0.2,0.2,0.4,-1,1,1.4,0.8,0.2,0.0,4.8,2.4,2.8,2.4,5.8,3.4,0.0,0.0,2.0,2.0,1.5,3.5,0.7368421052631579,0.3684210526315789
2013-14,2013-09-28 00:00:00+00:00,Southampton,Crystal Palace,H,0.4,0.4,0.2,0.0,1,-2,0.6,0.8,0.2,-0.8,4.4,3.0,2.4,3.0,6.8,3.2,0.0,0.2,0.8,1.2,4.0,1.0,0.2368421052631578,0.0
2013-14,2013-09-28 00:00:00+00:00,Swansea,Arsenal,A,0.4,0.2,0.8,0.0,1,4,1.4,2.2,0.0,1.0,6.0,6.0,2.4,2.8,4.6,5.6,0.0,0.2,2.4,2.0,2.0,3.0,0.2894736842105263,0.5526315789473685
2013-14,2013-09-28 00:00:00+00:00,Tottenham,Chelsea,D,0.8,0.0,0.6,0.2,2,1,1.0,1.2,0.8,0.8,6.0,5.4,2.6,2.4,8.2,5.4,0.0,0.0,1.6,1.4,3.0,2.0,0.5526315789473685,0.5789473684210527
2013-14,2013-09-29 00:00:00+00:00,Stoke,Norwich,A,0.4,0.2,0.2,0.2,-1,-2,0.8,0.6,-0.2,-0.6,4.0,2.4,4.4,2.8,5.2,4.8,0.0,0.0,1.6,1.4,1.0,1.0,0.2368421052631578,0.2631578947368421
2013-14,2013-09-29 00:00:00+00:00,Sunderland,Liverpool,A,0.0,0.2,0.6,0.2,-3,-1,0.6,1.0,-1.6,0.4,2.0,5.4,2.4,4.6,5.2,5.8,0.2,0.0,1.0,1.8,0.5,3.5,0.2368421052631578,0.4210526315789473
2013-14,2013-09-30 00:00:00+00:00,Everton,Newcastle,H,0.4,0.6,0.4,0.2,2,-1,1.2,1.0,0.4,-0.6,5.2,4.0,1.4,2.4,6.8,4.8,0.0,0.2,0.6,2.0,4.0,0.0,0.4210526315789473,0.2894736842105263
2013-14,2013-10-05 00:00:00+00:00,Cardiff,Newcastle,A,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,1,-2,1.0,1.1666666666666667,-0.16666666666666666,-0.6666666666666666,2.3333333333333335,4.333333333333333,4.5,2.6666666666666665,4.0,4.166666666666667,0.0,0.16666666666666666,1.0,1.8333333333333333,0.0,1.0,0.0,0.2894736842105263
2013-14,2013-10-05 00:00:00+00:00,Fulham,Stoke,H,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,-2,-2,0.6666666666666666,0.6666666666666666,-0.8333333333333334,-0.3333333333333333,3.0,3.5,4.666666666666667,4.0,3.6666666666666665,5.5,0.0,0.0,1.3333333333333333,1.6666666666666667,1.0,0.0,0.2894736842105263,0.2368421052631578
2013-14,2013-10-05 00:00:00+00:00,Hull,Aston Villa,D,0.5,0.16666666666666666,0.5,0.0,2,2,1.0,1.5,-0.16666666666666666,0.16666666666666666,2.8333333333333335,3.1666666666666665,2.8333333333333335,2.6666666666666665,3.5,3.8333333333333335,0.16666666666666666,0.0,1.3333333333333333,2.3333333333333335,1.5,0.5,0.0,0.2631578947368421
2013-14,2013-10-05 00:00:00+00:00,Liverpool,Crystal Palace,H,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,1,-3,1.3333333333333333,0.6666666666666666,0.6666666666666666,-1.0,5.5,2.5,4.5,2.6666666666666665,6.166666666666667,3.0,0.0,0.16666666666666666,1.6666666666666667,1.3333333333333333,2.0,3.0,0.4210526315789473,0.0
2013-14,2013-10-05 00:00:00+00:00,Man City,Everton,H,0.5,0.16666666666666666,0.5,0.5,-1,3,2.3333333333333335,1.5,1.1666666666666667,0.5,6.166666666666667,5.5,2.0,1.8333333333333333,8.0,5.833333333333333,0.0,0.0,1.1666666666666667,1.0,3.5,1.5,0.6052631578947368,0.4210526315789473
2013-14,2013-10-05 00:00:00+00:00,Sunderland,Man United,A,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,-4,-2,0.6666666666666666,1.3333333333333333,-1.6666666666666667,0.0,2.5,5.0,2.5,2.6666666666666665,6.0,5.666666666666667,0.16666666666666666,0.0,1.1666666666666667,2.1666666666666665,1.5,2.5,0.2368421052631578,0.7368421052631579
